T_K,J_exp,J_calc,J_sink,J_trap1,J_trap2,J_trap3,J_trap4,J_trap5
3.004299926757810226e+02,3.687663250174877000e+15,2.820528682966485620e+08,1.144301986900658722e+11,7.227695961733388800e+17,4.184455178119549500e+15,3.888221944349293750e+13,3.428460424478726864e+09,0.000000000000000000e+00
3.007947937011720114e+02,2.240300058949578750e+15,7.646190916606564522e+08,1.682362406149492798e+11,4.909801373306919040e+17,2.876430418755137500e+15,2.703572098587515234e+13,2.429209769368698597e+09,0.000000000000000000e+00
3.009775885220229839e+02,2.153976456291220000e+15,9.992634565584448576e+08,1.928542917301164246e+11,3.854402164186248960e+17,2.277660363464871500e+15,2.158830582080350000e+13,1.956825653875087500e+09,0.000000000000000000e+00
3.023599853515630116e+02,1.569185819516611750e+15,2.065822681178802252e+09,3.748900391841352539e+11,6.372139396323669600e+16,4.541308125780139375e+14,5.068004459998174805e+12,5.618440301188726425e+08,0.000000000000000000e+00
3.028861483060400133e+02,2.849452914769699500e+15,2.331257564402901649e+09,4.487811422745405884e+11,4.086881055907273600e+16,3.284677551116357500e+14,3.987304399584026367e+12,4.795363572290543914e+08,0.000000000000000000e+00
3.035700073242189774e+02,2.216802705019973000e+15,2.672093109845796585e+09,5.511153656973624268e+11,2.952433733158595200e+16,2.696144007224671875e+14,3.535915690672597168e+12,4.586094972317667603e+08,0.000000000000000000e+00
3.047699890136719887e+02,2.398385946611908000e+15,3.341721931930836201e+09,7.530307535999746094e+11,2.493823116626166400e+16,2.524681601685061562e+14,3.520528029517437500e+12,4.834501208357142806e+08,0.000000000000000000e+00
3.062200012207030113e+02,4.144473413382680000e+15,4.333730435523106575e+09,1.040591117178774414e+12,2.462629731642832400e+16,2.604925967623773750e+14,3.760116369858205078e+12,5.402688247282890081e+08,0.000000000000000000e+00
3.076600036621089771e+02,3.368127387649599500e+15,5.593703640579504013e+09,1.388856912942278076e+12,2.513506942991916800e+16,2.733513025860991250e+14,4.056937190314461426e+12,6.068406855458663702e+08,0.000000000000000000e+00
3.093500061035160229e+02,2.094097416143303750e+15,7.501670414435796738e+09,1.895475808512306885e+12,2.588865041149764000e+16,2.899528060014740000e+14,4.439858294760659180e+12,6.948193046233854294e+08,0.000000000000000000e+00
3.117600097656250000e+02,1.383421024216548000e+15,1.138582760790458298e+10,2.883486883962605957e+12,2.702282725746397200e+16,3.153584317293859375e+14,5.045595147511124023e+12,8.419168613947259188e+08,0.000000000000000000e+00
3.139946054311899957e+02,1.165230284444299750e+15,1.662774598645555496e+10,4.171227117032292480e+12,2.811403409286363600e+16,3.406409479254085625e+14,5.671611997561820312e+12,1.003824317088325143e+09,0.000000000000000000e+00
3.168200073242189774e+02,1.459404253560253000e+15,2.661663444482961273e+10,6.546279341083911133e+12,2.954471280208103600e+16,3.751064061080256875e+14,6.561553464574463867e+12,1.248206106475768805e+09,0.000000000000000000e+00
3.195715355506309834e+02,1.211188973104332750e+15,4.167736577813169098e+10,1.001152383857292578e+13,3.098979161914376800e+16,4.114563479964848750e+14,7.543999219468946289e+12,1.537209790171378374e+09,2.782261537975072861e+04
3.226188518817609747e+02,5.168890958943920000e+14,6.798375770657352448e+10,1.585508706089944922e+13,3.264815445028007200e+16,4.551364275014177500e+14,8.782660195981662109e+12,1.927694035098607302e+09,0.000000000000000000e+00
3.259799804687500000e+02,2.821309524128969500e+15,1.154213200252522430e+11,2.598077820802330859e+13,3.454477429655017600e+16,5.076859064025609375e+14,1.035280637274251758e+13,2.462464070487637043e+09,2.887738460565358400e+04
3.293599853515630116e+02,7.778967952028290000e+14,1.937706146347175903e+11,4.201538575787930469e+13,3.652000063296008000e+16,5.653448725870267500e+14,1.216999527741548633e+13,3.132184942185678482e+09,0.000000000000000000e+00
3.327855957031250114e+02,1.622549359517534750e+15,3.253664867930426025e+11,6.775801858680923438e+13,3.859118800749124000e+16,6.291446269869261250e+14,1.429342828161211914e+13,3.980404705856637478e+09,0.000000000000000000e+00
3.360051867675779818e+02,2.079525141979111750e+15,5.234975816479478760e+11,1.048418350511097500e+14,4.059831198170387200e+16,6.941913829096371250e+14,1.657201189111415820e+13,4.959414348652696609e+09,1.915526769716851413e+04
3.392699890136719887e+02,2.002226445078977000e+15,8.390487261577326660e+11,1.613252600206897500e+14,4.269212049520408000e+16,7.654587770815171250e+14,1.919430487779927734e+13,6.169859372367136002e+09,4.263938460564613342e+04
3.431399841308589771e+02,1.148939644555411750e+15,1.453639384957403809e+12,2.656674937639580312e+14,4.524953822651220800e+16,8.573427934833116250e+14,2.276280578492826562e+13,7.952358476382827759e+09,2.960781538801211864e+05
3.458099975585939774e+02,2.985568859599464000e+15,2.108339052829602051e+12,3.714512908683971875e+14,4.706025285212358400e+16,9.256179261163237500e+14,2.554431745675898438e+13,9.440624784551404953e+09,1.383213846056386828e+05
3.494400024414060226e+02,1.455981747771473000e+15,3.454972128606310059e+12,5.777307453315647500e+14,4.958063301010122400e+16,1.025084363712508375e+15,2.978377291340230078e+13,1.186324201642030144e+10,2.281053846056684852e+05
3.528399963378910229e+02,3.625364919952408500e+15,5.457091093611920898e+12,8.646574647257270000e+14,5.200307975354962400e+16,1.125742037510334250e+15,3.429736490389623047e+13,1.463831442751829720e+10,2.579283077606074512e+05
3.564061373197120020e+02,3.910439575572148500e+15,8.697726122965477539e+12,1.296050578277105750e+15,5.460437444836320000e+16,1.239203556132395000e+15,3.963330177711318750e+13,1.815316471123449326e+10,3.913184615579843521e+05
3.596399841308589771e+02,5.002150381801800000e+15,1.320691893070496680e+13,1.846624272398134500e+15,5.701754465662866400e+16,1.349662189547708750e+15,4.507892119653378125e+13,2.199270075711706924e+10,5.283027692113593221e+05
3.629746046799879764e+02,6.801170521258910000e+15,2.014256494199026172e+13,2.614864634655977500e+15,5.955779112333500000e+16,1.471289173552226250e+15,5.134444772046442969e+13,2.670000988591999817e+10,6.961278460857309401e+05
3.662099914550780113e+02,7.567845125323790000e+15,3.008039411622907031e+13,3.598646396810683000e+15,6.207174345789811200e+16,1.597086111635481250e+15,5.810914147061674219e+13,3.210705199657283401e+10,1.595189230915084481e+06
