T_K,J_exp,J_calc,J_sink,J_trap1,J_trap2,J_trap3,J_trap4,J_trap5
3.004299926757810226e+02,3.763947998155560000e+15,1.818417512305056453e+08,9.029322371739328003e+10,1.221669401676555008e+18,7.071706604657007000e+15,6.569994057548824219e+13,5.769014735433279037e+09,0.000000000000000000e+00
3.010638498159549954e+02,1.837344265110600000e+15,7.760074916282075644e+08,1.611127061020550537e+11,6.616731612168851200e+17,3.916538514360705000e+15,3.717995080582692188e+13,3.387056714876313210e+09,0.000000000000000000e+00
3.016399841308589771e+02,3.068724675162136000e+15,1.216572939308534622e+09,2.203423023820077209e+11,3.226666307543733760e+17,1.993955094189699000e+15,1.972521018687531641e+13,1.893162365868158817e+09,0.000000000000000000e+00
3.026000061035160229e+02,9.882668875667765000e+14,1.699439747292191505e+09,3.236397481112161255e+11,1.087413920833534240e+17,7.882881803871757500e+14,8.911484878488460938e+12,1.011109923970206380e+09,0.000000000000000000e+00
3.033400073242190160e+02,2.335475986651504500e+15,2.001299204189882994e+09,4.131754820480963135e+11,6.687107148923784000e+16,5.614110056135705000e+14,7.012831849317097656e+12,8.681713026827769279e+08,0.000000000000000000e+00
3.042899780273439774e+02,8.944199955370450000e+14,2.403798765821106911e+09,5.441502025590535278e+11,4.988570094992371200e+16,4.788294770479299375e+14,6.474911033552917969e+12,8.626770075250649452e+08,0.000000000000000000e+00
3.052500000000000000e+02,8.571084421325430000e+14,2.866028367155564308e+09,7.004320673807996826e+11,4.586156156063300800e+16,4.687780534209076875e+14,6.590317238031720703e+12,9.187891143877475262e+08,0.000000000000000000e+00
3.069400024414060226e+02,2.061225923277048750e+15,3.884828512632560253e+09,1.052232672022690186e+12,4.556184646163252800e+16,4.885598604382303750e+14,7.143137651282724609e+12,1.046826082475218773e+09,0.000000000000000000e+00
3.083246037409859923e+02,3.705006375291930000e+15,4.946250385737356186e+09,1.424066530059113037e+12,4.651121342104761600e+16,5.119779177544778125e+14,7.686820887340453125e+12,1.163570380011924505e+09,0.000000000000000000e+00
3.103099975585939774e+02,1.174348362260910000e+15,6.987919697473612785e+09,2.151329736393099365e+12,4.814541994723188800e+16,5.485296598221759375e+14,8.543354613142333008e+12,1.373192912631484985e+09,0.000000000000000000e+00
3.127200012207030113e+02,9.997020427063216250e+14,1.057492101165400314e+10,3.453158464147771973e+12,5.023282433023697600e+16,5.961888776785766250e+14,9.699779944869791016e+12,1.657045560020477772e+09,0.000000000000000000e+00
3.149084460918720083e+02,1.112148039382680000e+15,1.529733867751724815e+10,5.192766551000326172e+12,5.219895339966260000e+16,6.426062131993067500e+14,1.086882177544004102e+13,1.968667198176657677e+09,0.000000000000000000e+00
3.180199890136719887e+02,1.395248342111372000e+15,2.559576350070190811e+10,9.031828444410228516e+12,5.510211753224188000e+16,7.139761299057816250e+14,1.274627737865815820e+13,2.497255438795797348e+09,0.000000000000000000e+00
3.209199829101560226e+02,1.029176241910390000e+15,4.097833949073610687e+10,1.480320503597071289e+13,5.791632157005784000e+16,7.864645871800773750e+14,1.474932386352694141e+13,3.105210660342242718e+09,3.280938460566848516e+04
3.237453848031850043e+02,1.870175473056500000e+13,6.424229093795869446e+10,2.352747328998383594e+13,6.075372765819603200e+16,8.628880124260412500e+14,1.696146509771945508e+13,3.822619576965614319e+09,4.425184614412114024e+04
3.269499816894530113e+02,6.295139354868978750e+14,1.060166353764289398e+11,3.907697349538067969e+13,6.408234424674475200e+16,9.568962106587102500e+14,1.981878865403785547e+13,4.822200705897125244e+09,0.000000000000000000e+00
3.300623051570020152e+02,7.467997006456663750e+14,1.707241714368121033e+11,6.281041159318828906e+13,6.742303312969710400e+16,1.056000980589133500e+15,2.298586080395665625e+13,6.014650732369998932e+09,0.000000000000000000e+00
3.334146000788759920e+02,1.329479142136864750e+15,2.817506419607780762e+11,1.026383153485455156e+14,7.113582081588082400e+16,1.171752935328549250e+15,2.687551614494487891e+13,7.584860473920821190e+09,0.000000000000000000e+00
3.366284473125759860e+02,6.604870073734458750e+14,4.529367151162022095e+11,1.621895414547381250e+14,7.480663869162342400e+16,1.292223860876181250e+15,3.113791177455156250e+13,9.447149663481161118e+09,8.172323082795739174e+04
3.397500000000000000e+02,8.852471419658181250e+14,7.112637425559421387e+11,2.488090699233594688e+14,7.847144145845092800e+16,1.418404216931015000e+15,3.582137468884590625e+13,1.163508232103827286e+10,8.712261539434641600e+04
3.434822939359219731e+02,2.090014498144642000e+15,1.204195198681524414e+12,4.059618198626752500e+14,8.297814432648214400e+16,1.581706214382250000e+15,4.219878170068617188e+13,1.484939192876031303e+10,1.602880230526778847e+06
3.465299987792969887e+02,2.583361107250369500e+15,1.838473949786344727e+12,5.962704401483941250e+14,8.675837068709068800e+16,1.725795907322366250e+15,4.811411884087780469e+13,1.805012041617369461e+10,1.085476923661231995e+05
3.501699829101560226e+02,3.096922997849973000e+15,3.018782005179621094e+12,9.240686554768448750e+14,9.138747390440699200e+16,1.911120142985487250e+15,5.609941624167789844e+13,2.268372215989799881e+10,8.196138460566848516e+04
3.534532055664070072e+02,2.830543739328521000e+15,4.671261676878372070e+12,1.340927148706616750e+15,9.566570352531136000e+16,2.091070861579049500e+15,6.423730110600141406e+13,2.774971865059627914e+10,2.500053848599009216e+05
3.566684499887319930e+02,3.358023899949232000e+15,7.125420509358855469e+12,1.893055544990497000e+15,9.994986234498081600e+16,2.279927419898425500e+15,7.317785056749559375e+13,3.369118456153348923e+10,1.220998462073747069e+06
3.591499938964839771e+02,4.446184199614689500e+15,9.809954583880226562e+12,2.431996901865331500e+15,1.033175177260509920e+17,2.434389439397109000e+15,8.077713744304876562e+13,3.903650691479742432e+10,1.563571692492086440e+06
3.627999877929689774e+02,6.275281608797230000e+15,1.557990663423522461e+13,3.433059486890122000e+15,1.083661622286614400e+17,2.676049668486871500e+15,9.316961882279029688e+13,4.828500912718655396e+10,1.367324000253394246e+06
3.662099914550780113e+02,7.443304282701530000e+15,2.378222839132853516e+13,4.622160631428016000e+15,1.131824053306306560e+17,2.917933554946054500e+15,1.061617699462704375e+14,5.865323162694622040e+10,1.248785230535864830e+06
3.693800048828130116e+02,8.871116911746610000e+15,3.497880091201466406e+13,5.979220754704801000e+15,1.177438941333091040e+17,3.157369857364445000e+15,1.195799992173122188e+14,7.004179287472059631e+10,6.331042308268416673e+06
3.725499877929689774e+02,1.087624185022906000e+16,5.118106154768448438e+13,7.616577434834811000e+15,1.223856502843179840e+17,3.411601241623425500e+15,1.344199977152228125e+14,8.339721353484242249e+10,4.717898922774799168e+06
3.758815930175779840e+02,1.306629772304770000e+16,7.585057575846267188e+13,9.681549176207612000e+15,1.273482441619971200e+17,3.695246735437058000e+15,1.516666639453260312e+14,9.985954829457917786e+10,3.503618695394337177e+06
3.787130666879500041e+02,1.560041013890542000e+16,1.052822920231987500e+14,1.174967565287242200e+16,1.316318291816314720e+17,3.949890247163718500e+15,1.677411730058970312e+14,1.160560570076821289e+11,6.578332307208105922e+06
3.818299865722660229e+02,1.881721607385144800e+16,1.502668020236125312e+14,1.441133196775255600e+16,1.364175372784264320e+17,4.245349851426312000e+15,1.870782088707571875e+14,1.365887861419802551e+11,7.452677538168825209e+06
3.849411491980919777e+02,2.042169797893073200e+16,2.130607465755156250e+14,1.752335309029225800e+16,1.412672390274090400e+17,4.556556531497170000e+15,2.082117956145767812e+14,1.602577795281339111e+11,1.069582569240502268e+07
3.877753953200120236e+02,2.487478164228571200e+16,2.913781897295825000e+14,2.080717542595321200e+16,1.457490574008311360e+17,4.854729720788051000e+15,2.291724555834509688e+14,1.849400187186173706e+11,1.231643384642632306e+07
3.908800048828130116e+02,2.631426531925842800e+16,4.085013786382280625e+14,2.496144366483745600e+16,1.507298936997035200e+17,5.198037598147267000e+15,2.541427275516110000e+14,2.158364899978976746e+11,1.621899415445155650e+07
3.943099975585939774e+02,2.907815281789065600e+16,5.891072259522305000e+14,3.030931505465501200e+16,1.563221476189070080e+17,5.598189112623487000e+15,2.843256786662958750e+14,2.552135525451939697e+11,2.138765030801392347e+07
3.970100097656250000e+02,3.338802503323298800e+16,7.834540830503095000e+14,3.516443352128018800e+16,1.607958768748939520e+17,5.929586228883384000e+15,3.101887360187877500e+14,2.906751288060546875e+11,2.410116584656254947e+07
4.004500122070310226e+02,3.667881159055130400e+16,1.117974452464785000e+15,4.224529757927183200e+16,1.665917705682150400e+17,6.372931978785661000e+15,3.459251729729263750e+14,3.420619357793526001e+11,3.278148630776032060e+07
4.038330899752110099e+02,4.122960337507516800e+16,1.579765171999350750e+15,5.034710609791494400e+16,1.724135464159318400e+17,6.834068844376174000e+15,3.844648251511545625e+14,4.005285909787694092e+11,3.875050400069403648e+07
4.067342271071220239e+02,4.773128427569648000e+16,2.112890264645440750e+15,5.827158690263806400e+16,1.775134040284218560e+17,7.249851402583264000e+15,4.203186243023511875e+14,4.575245409606690063e+11,4.949635569234678149e+07
4.097899780273439774e+02,5.053250513340156800e+16,2.857511133682800500e+15,6.771438496948887200e+16,1.830122544345017280e+17,7.709612847575601000e+15,4.611354416857516250e+14,5.253352073306028442e+11,6.041828184630978107e+07
4.130307523287260096e+02,5.610067637390858400e+16,3.915613272463504500e+15,7.908002908304064000e+16,1.890136082354504320e+17,8.223247534634924000e+15,5.080973026321891875e+14,6.069770466039715576e+11,7.455991400028228760e+07
4.160200024414060067e+02,6.374221310064260800e+16,5.212042840469473000e+15,9.091996881101072000e+16,1.947371586718166400e+17,8.722655994504609000e+15,5.550412493153312500e+14,6.922284810734368896e+11,8.997872224668817222e+07
4.195823223407459750e+02,6.809834815404101600e+16,7.284135109488115000e+15,1.068901204577163840e+17,2.018495827010117120e+17,9.352849549123142000e+15,6.159192445557483750e+14,8.078074493677232666e+11,1.124891133860338181e+08
4.223499755859380116e+02,7.851503308927220800e+16,9.407990695887988000e+15,1.208264156071519040e+17,2.076483432862452160e+17,9.871657000060618000e+15,6.672813673161051250e+14,9.094417858570642090e+11,1.346815523086492419e+08
4.255499877929689774e+02,8.940716821567809600e+16,1.259534566060302000e+16,1.387620434563634080e+17,2.147297616521979520e+17,1.050749734591669600e+16,7.315837857546140000e+14,1.041607258665395996e+12,1.659275529244218469e+08
