T_K,J_exp,J_calc,J_sink,J_trap1,J_trap2,J_trap3,J_trap4,J_trap5
3.004299926757810226e+02,0.000000000000000000e+00,7.755261097942634821e+08,1.595510584592063599e+11,3.326681987647966720e+17,1.936081105139722250e+15,1.805994670224614062e+13,1.605661643889726162e+09,0.000000000000000000e+00
3.009100036621089771e+02,7.099770663641900000e+14,1.325738708442149162e+09,2.525109755196228943e+11,6.767415302279827200e+16,4.205374451623371250e+14,4.170003873856904297e+12,4.024629309589128494e+08,-5.452514468741333985e+04
3.011600036621089771e+02,7.670466790461978750e+14,1.452706071436878681e+09,2.962288362174039307e+11,3.328803824894160000e+16,2.244215762607731875e+14,2.385211492253686035e+12,2.500496521556020081e+08,0.000000000000000000e+00
3.016399841308589771e+02,0.000000000000000000e+00,1.627417541803965092e+09,3.763268088022437134e+11,1.394311390313597400e+16,1.153681335928918125e+14,1.412696507194801270e+12,1.696560307619931698e+08,0.000000000000000000e+00
3.023322941706740039e+02,0.000000000000000000e+00,1.859344125460587263e+09,4.875495615247945557e+11,9.604418814969480000e+15,9.263542704484606250e+13,1.236901793641823486e+12,1.604196395432323813e+08,0.000000000000000000e+00
3.030799865722660229e+02,4.284585599276850000e+14,2.131253256800612688e+09,6.062247817145512695e+11,9.165196154846494000e+15,9.199552675223968750e+13,1.260814789556377930e+12,1.680659308595175147e+08,0.000000000000000000e+00
3.035796069335939933e+02,5.626533218038269375e+14,2.335117161890820980e+09,6.868646689481052246e+11,9.196724478260536000e+15,9.333481429054314062e+13,1.292104860420658936e+12,1.746369481979430914e+08,0.000000000000000000e+00
3.042899780273439774e+02,2.065635692988660000e+14,2.655005367106599808e+09,8.055041376377780762e+11,9.291473132717214000e+15,9.551274204020845312e+13,1.339415803618873047e+12,1.844652193180463612e+08,0.000000000000000000e+00
3.050100097656250000e+02,1.368544287745640000e+14,3.023785836104374409e+09,9.336311292272484131e+11,9.404777637485224000e+15,9.783987269590526562e+13,1.389381139946716797e+12,1.951179665782283843e+08,0.000000000000000000e+00
3.059700012207030113e+02,4.384481537340809375e+13,3.588218217748342514e+09,1.119896995499929443e+12,9.565086640609300000e+15,1.010956301340574531e+14,1.459885303229250000e+12,2.102590859301178753e+08,0.000000000000000000e+00
3.066999816894530113e+02,1.087770669720789844e+14,4.079265272187488556e+09,1.275928576772202881e+12,9.693163512099978000e+15,1.037153186807392188e+14,1.517309000348503906e+12,2.226229032780073881e+08,0.000000000000000000e+00
3.076600036621089771e+02,0.000000000000000000e+00,4.826411409089741707e+09,1.506030072675875488e+12,9.868923123699830000e+15,1.073586219488315938e+14,1.598334265322089355e+12,2.403469860382070541e+08,0.000000000000000000e+00
3.086199951171880116e+02,5.998060371931750000e+14,5.703793885712224960e+09,1.769265767256507080e+12,1.004780359914714000e+16,1.111332159138411094e+14,1.683722700378360596e+12,2.596350536898036301e+08,0.000000000000000000e+00
3.093500061035160229e+02,1.240872922903170000e+14,6.463711660848333359e+09,1.993401514311848633e+12,1.018540571547572200e+16,1.140767697544020156e+14,1.751240056337089844e+12,2.756285146848011017e+08,0.000000000000000000e+00
3.101756030273439819e+02,0.000000000000000000e+00,7.465129935381655693e+09,2.283809836945929199e+12,1.034298894997178800e+16,1.174999981461982188e+14,1.831030049675620117e+12,2.945813769000865221e+08,0.000000000000000000e+00
3.106246032714850003e+02,3.853552664514129395e+12,8.061940694323885918e+09,2.455289522147274414e+12,1.042931251579607400e+16,1.193923217190467500e+14,1.875558818724208008e+12,3.052781800880687237e+08,0.000000000000000000e+00
3.122399902343750000e+02,7.637489455330565000e+14,1.061511075146116638e+10,3.177101351306591797e+12,1.074421256389010000e+16,1.264176059234002031e+14,2.043928279876591553e+12,3.466644137004864812e+08,0.000000000000000000e+00
3.136799926757810226e+02,3.059901775186556250e+14,1.354612994753388977e+10,3.987489140513439941e+12,1.103051052865527200e+16,1.329717102392502031e+14,2.205276073239251953e+12,3.883589757742563486e+08,0.000000000000000000e+00
3.147747888183590135e+02,1.390956755922590000e+14,1.627863087766216087e+10,4.729919987120350586e+12,1.125160996659513800e+16,1.381411460388397656e+14,2.335341617459225098e+12,4.228116786929010153e+08,1.383516759164881660e+04
3.156746063232429833e+02,6.160590927246770000e+14,1.889719560120247269e+10,5.432073635196449219e+12,1.143544252841226800e+16,1.425082878472512188e+14,2.447040284611135742e+12,4.532674074220965505e+08,2.915538755830590890e+04
