T_K,J_exp,J_calc,J_trap1,J_trap2,J_trap3,J_trap4
3.004299926757810226e+02,3.687663250174877000e+15,2.196282244163819790e+09,7.462731239384796160e+17,7.527768290084773750e+14,1.150063543290336609e+11,0.000000000000000000e+00
3.007947937011720114e+02,2.240300058949578750e+15,5.867834264840363503e+09,5.016309044157289600e+17,5.146402635397123750e+14,7.984640408969123840e+10,4.331442370734105352e+05
3.009775885220229839e+02,2.153976456291220000e+15,7.614054295722838402e+09,3.917030027176496000e+17,4.069113251419152500e+14,6.384965963643018341e+10,1.095811936872696424e+04
3.023599853515630116e+02,1.569185819516611750e+15,1.514245278972414398e+10,6.394067980457312000e+16,8.683011787152431250e+13,1.668311902458494949e+10,8.082350599901397072e+04
3.028861483060400133e+02,2.849452914769699500e+15,1.690341805014011765e+10,4.141913219732127200e+16,6.602283311053923438e+13,1.388711800946319389e+10,0.000000000000000000e+00
3.035700073242189774e+02,2.216802705019973000e+15,1.912201846673888016e+10,3.039629521111372800e+16,5.689856976546300000e+13,1.293189274003162193e+10,7.628088462744218123e+04
3.047699890136719887e+02,2.398385946611908000e+15,2.338561097442318726e+10,2.605775695429360000e+16,5.533440164829074219e+13,1.339384351537236595e+10,4.172144498798532004e+04
3.062200012207030113e+02,4.144473413382680000e+15,2.954920728076634979e+10,2.585433553133794800e+16,5.815597696501170312e+13,1.467282196052834892e+10,8.096670546683840803e+04
3.076600036621089771e+02,3.368127387649599500e+15,3.717099493970999146e+10,2.643071564346108000e+16,6.186064479038289844e+13,1.618589567278306770e+10,1.966080000000000000e+05
3.093500061035160229e+02,2.094097416143303750e+15,4.840417439747311401e+10,2.725731359816150800e+16,6.660941970697781250e+13,1.817025274325683594e+10,7.479076921125501394e+04
3.117600097656250000e+02,1.383421024216548000e+15,7.041546065126005554e+10,2.849897636529503200e+16,7.398712027268717188e+13,2.140396674944685745e+10,1.966080000000000000e+05
3.139946054311899957e+02,1.165230284444299750e+15,9.896431303486875916e+10,2.969487981008863200e+16,8.146154957679125000e+13,2.485498735732123566e+10,4.564009229406043887e+05
3.168200073242189774e+02,1.459404253560253000e+15,1.510374942439737854e+11,3.126514665215335200e+16,9.185591158868300000e+13,2.993605905706127930e+10,3.013064615774455015e+05
3.195715355506309834e+02,1.211188973104332750e+15,2.260103553975302124e+11,3.285397173040343600e+16,1.030601112869092500e+14,3.576113660373200226e+10,3.251880001264810562e+05
3.226188518817609747e+02,5.168890958943920000e+14,3.507830062854779053e+11,3.468081810928904800e+16,1.168367835237497969e+14,4.340270260472064972e+10,6.801883078092038631e+05
3.259799804687500000e+02,2.821309524128969500e+15,5.643202576083510742e+11,3.677472916477516000e+16,1.338316176681422969e+14,5.351428421048792267e+10,1.095263384732156992e+06
3.293599853515630116e+02,7.778967952028290000e+14,8.989654484849294434e+11,3.896053692829459200e+16,1.529630037347897812e+14,6.573688612303839111e+10,1.763487077098838985e+06
3.327855957031250114e+02,1.622549359517534750e+15,1.431700928519798584e+12,4.125823759874588800e+16,1.746949434312258750e+14,8.066855878305068970e+10,2.090929753816958517e+06
3.360051867675779818e+02,2.079525141979111750e+15,2.194730048790098877e+12,4.349024347841969600e+16,1.974046925530088125e+14,9.737174812586590576e+10,2.605299606183011085e+06
3.392699890136719887e+02,2.002226445078977000e+15,3.353153706031943848e+12,4.582421737706402400e+16,2.228833560706688750e+14,1.173776880452796631e+11,3.345899692239522934e+06
3.431399841308589771e+02,1.148939644555411750e+15,5.492840669053903320e+12,4.868270912893210400e+16,2.566001916659235000e+14,1.458209937242597656e+11,4.649691077097766101e+06
3.458099975585939774e+02,2.985568859599464000e+15,7.670439187260407227e+12,5.071164683094878400e+16,2.822400423374843750e+14,1.688648481552217407e+11,5.978857846309781075e+06
3.494400024414060226e+02,1.455981747771473000e+15,1.195525848623180859e+13,5.354264118877541600e+16,3.204181623973398750e+14,2.053003388558139038e+11,8.006827538548983634e+06
3.528399963378910229e+02,3.625364919952408500e+15,1.802066320686575391e+13,5.627139538520244800e+16,3.600151181154030625e+14,2.457170067348412781e+11,1.057883569261991978e+07
3.564061373197120020e+02,3.910439575572148500e+15,2.739458336430519922e+13,5.920984033259944000e+16,4.056919557738973125e+14,2.953780683791248169e+11,1.400762615402185917e+07
3.596399841308589771e+02,5.002150381801800000e+15,3.985791802483682031e+13,6.194379568217728000e+16,4.511909129158932500e+14,3.480304528063111572e+11,1.769433723116713390e+07
3.629746046799879764e+02,6.801170521258910000e+15,5.822575540870764844e+13,6.483009927732134400e+16,5.023731284002313125e+14,4.108080220277645874e+11,2.353973076944484562e+07
3.662099914550780113e+02,7.567845125323790000e+15,8.347261041670939062e+13,6.769524770203180800e+16,5.564313515290722500e+14,4.809888923609445801e+11,2.983592369261884689e+07
3.691300048828130116e+02,9.555323715717998000e+15,1.149867172698936406e+14,7.033668564210839200e+16,6.092300063309103750e+14,5.532595830432680664e+11,3.683680323116958141e+07
3.725499877929689774e+02,1.107886854013297000e+16,1.661325274736789062e+14,7.349713534755257600e+16,6.761468303825942500e+14,6.498474465754980469e+11,4.754820753880264610e+07
3.757292316143330027e+02,1.326906071141712800e+16,2.327053055776602812e+14,7.650181994400822400e+16,7.436536073830231250e+14,7.527791620251623535e+11,5.900656553910408914e+07
3.786499938964839771e+02,1.510273087670301000e+16,3.153397729620947500e+14,7.931952566858230400e+16,8.103750897664792500e+14,8.596166737904167480e+11,7.278413784681378305e+07
3.823099975585939774e+02,1.709483502686823000e+16,4.583483524478216875e+14,8.293171461294899200e+16,9.007817698709167500e+14,1.012149007981477783e+12,9.338446600088688731e+07
3.854438382662260096e+02,1.865712290894599200e+16,6.277391068979833750e+14,8.610097780578483200e+16,9.845898780887091250e+14,1.161179092871639648e+12,1.155351320012265146e+08
3.884299926757810226e+02,2.281119832582467200e+16,8.432383274623011250e+14,8.919204816309320000e+16,1.070320286451411500e+15,1.320892803878237061e+12,1.412518193859950900e+08
3.916011493389430029e+02,2.581278612236986800e+16,1.148590420190742250e+15,9.255867317516302400e+16,1.168071886212404000e+15,1.511596645670850342e+12,1.737038500016522408e+08
3.950499877929689774e+02,2.773882259931884800e+16,1.597556154355572250e+15,9.632961564398545600e+16,1.282682333986382750e+15,1.746147115312714111e+12,2.166900104636045992e+08
3.987299804687500000e+02,2.972968887288179600e+16,2.255847729906937500e+15,1.004991313748434080e+17,1.415240820184469250e+15,2.031305000648687500e+12,2.734649866179243922e+08
4.016699829101560226e+02,3.357356946587040800e+16,2.957496994035886500e+15,1.039581560499243360e+17,1.529410036354623250e+15,2.288141132625930176e+12,3.279452435415804386e+08
4.043800048828130116e+02,3.855006789181225600e+16,3.780128311049719000e+15,1.072645181207733440e+17,1.641623948011314500e+15,2.550009321622723145e+12,3.874977260034273863e+08
4.079619995117190001e+02,4.346628963610428800e+16,5.208174416557051000e+15,1.118484400348690080e+17,1.801426404502907750e+15,2.938366030371782715e+12,4.814411827735196352e+08
4.110199890136719887e+02,4.738122854047501600e+16,6.808670945813551000e+15,1.159888766253302720e+17,1.948914527318668250e+15,3.311241402955674316e+12,5.778488806204583645e+08
4.142200012207030113e+02,5.242146327506992000e+16,8.966730703102498000e+15,1.205979776946934400e+17,2.115454296054015000e+15,3.747499553582728027e+12,6.979338873905467987e+08
4.172043872070310044e+02,5.911054177881692000e+16,1.154315910110575000e+16,1.252099432086035680e+17,2.283437690939502500e+15,4.202394404700382812e+12,8.308489508131291866e+08
4.201692041015630252e+02,6.643588111784171200e+16,1.477134640869695400e+16,1.301560526386283520e+17,2.463908680847104000e+15,4.705823043074696289e+12,9.858455776328574419e+08
