0,--,0,20591549819.7982
1.5625,--,9704204648.6796,0
3.12890625,--,0,0
4.6875,--,0,0
6.25390625,--,0,0
7.8125,--,27061294212.3904,0
9.37890625,301.880004882813,0,15069808170.8304
10.9375,301.639984130859,91682807953.6194,344891422572.811
12.50390625,301.880004882813,296604793403.702,1953181107241.59
14.0625,301.833847045899,57201179354.7157,0
15.62890625,301.880004882813,0,0
17.1875,301.87077331543,0,0
18.75390625,301.990769606371,0,0
20.3125,301.90571812221,0,0
21.87890625,302.119995117188,0,0
23.4375,302.359985351563,0,0
25.00390625,302.359985351563,0,0
26.5625,302.119995117188,0,0
28.12890625,302.359985351563,0,0
29.6875,302.359985351563,0,0
31.25390625,302.600006103516,26779489722.0102,0
32.8125,302.600006103516,45838321903.6781,0
34.37890625,302.839996337891,0,0
35.9375,302.839996337891,0,0
37.50390625,302.839996337891,0,0
39.0625,302.88614830604,6059139491.40102,0
40.62890625,302.932300274189,0,0
42.1875,303.079986572266,21162811838.3469,0
43.75390625,303.079986572266,0,0
45.3125,303.070756178636,31060202993.7898,0
46.87890625,303.320007324219,171995274966.352,0
48.4375,303.320007324219,55787643287.8196,0
50.00390625,303.809997558594,0,0
51.5625,303.809997558594,0,0
53.12890625,303.809997558594,15666512972.2818,0
54.6875,303.809997558594,62375536757.1474,0
56.25390625,304.289978027344,112617583148.8,0
57.8125,304.289978027344,35120212523.2418,176935660.715728
59.37890625,304.289978027344,135210028127.225,2538346209.49871
60.9375,303.865379920373,35164897176.508,0
62.50390625,304.529998779297,46794683356.7761,2146179556.32643
64.0625,304.271517240084,116732168082.699,31165857584.5005
65.62890625,304.529998779297,22541677286.0822,20619674169.3086
67.1875,304.529998779297,26850631810.2549,837899368.814985
68.75390625,304.529998779297,55596122181.9767,12020633252.615
70.3125,304.952408447266,22216123849.0243,0
71.87890625,304.769989013672,73323471464.5948,0
73.4375,305.010009765625,52863934643.4797,0
75.00390625,305.010009765625,39305105493.1384,0
76.5625,305.25,34083294978.7675,0
78.12890625,305.489990234375,60697457810.054,0
79.6875,305.489990234375,65519056694.3929,894761390.82935
81.25,305.683828500601,0,14339858707.9813
82.8125,305.489990234375,34293957380.9031,22774255157.0719
84.375,305.72998046875,0,23625128744.7566
85.9375,305.970001220703,56620278862.2563,242424575.010836
87.5,305.72998046875,0,4618214624.65388
89.0625,305.970001220703,56084019765.8956,16269436621.1814
90.625,306.220001220703,74459750721.1235,0
92.1875,306.220001220703,28076302001.8993,0
93.75,306.220001220703,58558135047.4853,105368195.337248
95.3125,306.220001220703,9623984232.91771,1964570335.56123
96.875,306.459991455078,0,8718101412.44568
98.4375,306.699981689453,54913069890.2066,32523621828.0884
100,306.484818031048,39895154876.3682,1526704833.84374
101.5625,306.81519165039,48931620270.3119,24374998633.8752
103.125,306.940002441406,20488930065.9305,35818896609.0192
104.6875,307.016799316406,61117964405.0154,15756106124.9459
106.25,307.373830942007,0,0
107.8125,307.179992675781,0,0
109.375,307.419982910156,0,612023067.846485
110.9375,307.419982910156,65997827016.1254,8803716437.48405
112.5,307.493835449219,0,0
114.0625,307.660003662109,0,0
115.625,307.899993896484,121583718878.163,4311927499.08719
117.1875,307.918454683744,55717415277.58,67559471054.76
118.75,308.139984130859,22733198391.9251,81747983805.6027
120.3125,308.380004882813,495381073.769116,31123163824.438
121.875,308.380004882813,93070843920.7083,7013530253.13356
123.4375,308.869995117188,6793256868.53479,43278317482.1488
125,308.407696063702,44699274188.4763,68263218155.3606
126.5625,308.869995117188,62777720265.1257,48597113659.4805
128.125,308.869995117188,0,32210547370.4085
129.6875,309.109985351563,0,980641020.638487
131.25,309.396158071665,0,16651647123.8067
132.8125,309.589996337891,0,36616084658.3832
134.375,309.589996337891,115519280383.833,0
135.9375,309.855703081404,213112206889.356,0
137.5,309.949996948243,0,891232509.588383
139.0625,310.070007324219,6010842864.71021,12820036868.6944
140.625,310.070007324219,54874787297.6215,2398644088.72571
142.1875,310.309997558594,11025624578.9537,35143437485.6765
143.75,310.549987792969,0,9204209402.54626
145.3125,310.549987792969,34447152636.994,37332268.4898285
146.875,310.789978027344,0,537010323.661379
148.4375,310.905187988281,0,1531495927.87799
150,311.029998779297,0,22195738984.2221
151.5625,311.279998779297,24453168228.1695,2384380879.75475
153.125,311.556915283203,0,0
154.6875,311.760009765625,0,0
156.25,312,71682878529.3606,0
157.8125,312.239990234375,0,1836697652.64596
159.375,312.47998046875,0,29950261018.0766
160.9375,312.720001220703,18241893281.2632,50778723784.4228
162.5,312.720001220703,40849948689.7431,0
164.0625,313.199981689453,0,0
165.625,313.440002441406,22550826176.8526,1650034981.55176
167.1875,313.679992675781,7916796889.45181,24253810977.4048
168.75,313.679992675781,63064969481.015,7461190628.33041
170.3125,313.679992675781,59981685148.4866,6106868495.24163
171.875,314.169982910156,0,89155195162.8536
173.4375,314.573197021484,127884384760.185,18847307874.5126
175,314.483846811147,48389002370.4376,868375828.869797
176.5625,314.889984130859,0,13990507334.7913
178.125,315.024395751953,0,24872081743.0694
179.6875,315.130004882813,150041960033.996,49136127375.4637
181.25,315.369995117188,14555755444.1432,24523471549.4079
182.8125,315.609985351563,42247955433.771,25337128665.1288
184.375,315.850006103516,58839003831.277,647707816.479818
185.9375,316.339996337891,0,9317027821.67123
187.5,316.579986572266,14421701484.3449,1151112823.20763
189.0625,316.441530667819,6193215079.78273,17508564820.0072
190.625,316.820007324219,37089970868.9588,13668974927.1582
192.1875,316.921541654147,13196052921.2839,0
193.75,317.059997558594,24817025886.3959,0
195.3125,317.299987792969,135455340601.367,0
196.875,317.539978027344,0,2176380373.63603
198.4375,318.019989013672,0,31439802525.7583
200,318.019989013672,124188232888.959,1919021623.9063
201.5625,318.048791503906,19847793968.7537,0
203.125,318.75,83588353880.2723,0
204.6875,318.7883984375,21143670542.0543,3243215912.95945
206.25,318.989990234375,5915093126.08046,48518717367.3818
207.8125,319.22998046875,9113311750.69792,30928277147.1224
209.375,319.470001220703,0,59127618143.304
210.9375,319.709991455078,27591129619.4862,6275506256.63061
212.5,319.949981689453,95219340879.4899,10178986090.5642
214.0625,320.199587402344,0,59752369119.6696
215.625,320.439992675781,99231010525.0844,26032176513.3954
217.1875,320.919982910156,0,1577291665.30797
218.75,320.96614074707,0,23370643752.0569
220.3125,320.679992675781,17619898480.379,12592546775.0128
221.875,321.399993896484,119636713802.163,40040103611.1753
223.4375,321.160003662109,84399079699.7431,158309385.822188
225,321.880004882813,50077070046.1945,2277219626.82686
226.5625,322.119995117188,0,0
228.125,322.359985351563,0,2897649951.7077
229.6875,322.600006103516,0,41681580074.5645
231.25,322.850006103516,70923217795.253,0
232.8125,323.089996337891,69084744950.6618,1850225916.49974
234.37890625,323.329986572266,0,27386874448.6251
235.9375,323.445196533204,108506450136.81,11680557457.0987
237.50390625,323.809997558594,0,0
239.0625,324.105370154748,41201045483.7745,0
240.62890625,324.289978027344,70208263342.9956,0
242.1875,324.289978027344,0,295559747.672425
243.75390625,324.779998779297,0,4849937117.12803
245.3125,325.019989013672,0,11026445469.2958
246.87890625,325.019989013672,90150643973.3078,38027796336.671
248.4375,325.260009765625,0,17496543137.4316
250.00390625,325.5,64443834928.7503,50428392637.7152
251.5625,325.71119140625,0,32634056453.5947
253.12890625,325.739990234375,0,88538323971.4394
254.6875,325.97998046875,27188967740.0912,1096408520.74725
256.25390625,326.260001220703,17159614108.863,17516743141.2798
